_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
563,563,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,10-04-2021 17:00,3
564,564,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,10-04-2021 20:00,1
565,565,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,10-04-2021 21:00,1
566,566,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,10-04-2021 23:00,3
567,567,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 00:00,1
568,568,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 01:00,8.5
569,569,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 02:00,14
570,570,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 03:00,9
571,571,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 04:00,3.5
572,572,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 05:00,1.5
573,573,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 10:00,2
574,574,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 11:00,2
575,575,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 12:00,5.5
576,576,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 13:00,1
577,577,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 14:00,3
578,578,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 15:00,3.5
579,579,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 16:00,1
580,580,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 17:00,2.5
581,581,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 18:00,7
582,582,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 19:00,6
583,583,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 20:00,9
584,584,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 21:00,3.5
585,585,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 22:00,0.5
586,586,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,11-04-2021 23:00,0.5
587,587,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,12-04-2021 00:00,2
588,588,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,12-04-2021 02:00,0.5
589,589,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,12-04-2021 06:00,4
590,590,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,12-04-2021 09:00,4
591,591,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,12-04-2021 10:00,1.5
592,592,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,12-04-2021 11:00,12.5
593,593,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,12-04-2021 12:00,4
594,594,bamdo,CWC,12,Arunachal Pradesh,240,UPPER SIANG,SINGA,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.75361111,94.90083333,12-04-2021 14:00,5
