_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
694,694,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,23-08-2022 21:00,0.5
695,695,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,23-08-2022 22:00,0.5
696,696,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,23-08-2022 23:00,0.5
697,697,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,24-08-2022 00:00,0.5
698,698,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,24-08-2022 01:00,0.5
699,699,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,24-08-2022 02:00,0.5
700,700,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,24-08-2022 03:00,0.5
701,701,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,24-08-2022 23:00,1
702,702,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,25-08-2022 00:00,1
703,703,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,25-08-2022 01:00,1
704,704,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,25-08-2022 02:00,1
705,705,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,25-08-2022 03:00,1
706,706,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,25-08-2022 22:00,5
707,707,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,26-08-2022 00:00,5
708,708,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,26-08-2022 01:00,5
709,709,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,26-08-2022 02:00,5
